STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,AND,Andorra,WB_SSGD_PCT_POP_TRUST,Percentage of population who think most people can be trusted,_T,Total,_T,All age ranges or no breakdown by age,RUR,Rural area,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2018,23.214284896850582,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,AND,Andorra,WB_SSGD_PCT_POP_TRUST,Percentage of population who think most people can be trusted,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_T,Total,WB_SSGD_RELIGION_1,Religion: main,_Z,Not Applicable,2018,23.30827140808105,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,AND,Andorra,WB_SSGD_PCT_POP_TRUST,Percentage of population who think most people can be trusted,_T,Total,_T,All age ranges or no breakdown by age,URB,Urban area,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2018,25.71428680419922,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,AND,Andorra,WB_SSGD_PCT_POP_TRUST,Percentage of population who think most people can be trusted,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_T,Total,WB_SSGD_RELIGION_2,Religion: minorities,_Z,Not Applicable,2018,30.23951911926269,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,AND,Andorra,WB_SSGD_PCT_POP_TRUST,Percentage of population who think most people can be trusted,_T,Total,Y_GE60,60 years old and over,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2018,28.05430030822754,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,AND,Andorra,WB_SSGD_PCT_POP_TRUST,Percentage of population who think most people can be trusted,M,Male,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2018,26.8244571685791,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,AND,Andorra,WB_SSGD_PCT_POP_TRUST,Percentage of population who think most people can be trusted,_T,Total,Y_GE25,25 years old and over,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2018,25.27472686767578,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,AND,Andorra,WB_SSGD_PCT_POP_TRUST,Percentage of population who think most people can be trusted,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,WB_SSGD_ETHNICITY_1,Ethnicity: main,_T,Total,_Z,Not Applicable,2018,24.47257423400879,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,AND,Andorra,WB_SSGD_PCT_POP_TRUST,Percentage of population who think most people can be trusted,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2018,28.571430206298828,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,_O,Other,AND,Andorra,WB_SSGD_PCT_POP_TRUST,Percentage of population who think most people can be trusted,_T,Total,Y30T59,30 to 59 years old,_T,Total,PT_POP,Percentage of population,_T,Total,_T,Total,_Z,Not Applicable,2018,23.954984664916992,_Z,Not Applicable,WB_SSGD,Social sustainability global database,0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
